Winner,Moves,Duration (s),Red_Agent,Blue_Agent,Red_Heuristic,Blue_Heuristic,Depth_R,Depth_B
R,75,3.96,minimax,minimax,potential_chain_reactions,count_difference,3,3
R,75,4.06,minimax,minimax,potential_chain_reactions,count_difference,3,3
R,75,3.94,minimax,minimax,potential_chain_reactions,count_difference,3,3
R,75,3.93,minimax,minimax,potential_chain_reactions,count_difference,3,3
R,75,4.02,minimax,minimax,potential_chain_reactions,count_difference,3,3
R,9,0.32,minimax,minimax,potential_chain_reactions,conversion_potential,3,3
R,9,0.29,minimax,minimax,potential_chain_reactions,conversion_potential,3,3
R,9,0.31,minimax,minimax,potential_chain_reactions,conversion_potential,3,3
R,9,0.31,minimax,minimax,potential_chain_reactions,conversion_potential,3,3
R,9,0.34,minimax,minimax,potential_chain_reactions,conversion_potential,3,3
B,52,2.62,minimax,minimax,potential_chain_reactions,strategic_position,3,3
B,52,2.72,minimax,minimax,potential_chain_reactions,strategic_position,3,3
B,52,2.69,minimax,minimax,potential_chain_reactions,strategic_position,3,3
B,52,2.63,minimax,minimax,potential_chain_reactions,strategic_position,3,3
B,52,2.66,minimax,minimax,potential_chain_reactions,strategic_position,3,3
B,106,12.17,minimax,minimax,potential_chain_reactions,potential_chain_reactions,3,3
B,106,12.6,minimax,minimax,potential_chain_reactions,potential_chain_reactions,3,3
B,106,12.26,minimax,minimax,potential_chain_reactions,potential_chain_reactions,3,3
B,106,10.92,minimax,minimax,potential_chain_reactions,potential_chain_reactions,3,3
B,106,10.63,minimax,minimax,potential_chain_reactions,potential_chain_reactions,3,3
R,7,0.14,minimax,minimax,potential_chain_reactions,mobility,3,3
R,7,0.13,minimax,minimax,potential_chain_reactions,mobility,3,3
R,7,0.14,minimax,minimax,potential_chain_reactions,mobility,3,3
R,7,0.13,minimax,minimax,potential_chain_reactions,mobility,3,3
R,7,0.16,minimax,minimax,potential_chain_reactions,mobility,3,3
B,26,0.68,minimax,minimax,mobility,count_difference,3,3
B,26,0.68,minimax,minimax,mobility,count_difference,3,3
B,26,0.68,minimax,minimax,mobility,count_difference,3,3
B,26,0.64,minimax,minimax,mobility,count_difference,3,3
B,26,0.67,minimax,minimax,mobility,count_difference,3,3
R,27,0.74,minimax,minimax,mobility,conversion_potential,3,3
R,27,0.76,minimax,minimax,mobility,conversion_potential,3,3
R,27,0.72,minimax,minimax,mobility,conversion_potential,3,3
R,27,0.73,minimax,minimax,mobility,conversion_potential,3,3
R,27,0.75,minimax,minimax,mobility,conversion_potential,3,3
B,10,0.23,minimax,minimax,mobility,strategic_position,3,3
B,10,0.23,minimax,minimax,mobility,strategic_position,3,3
B,10,0.22,minimax,minimax,mobility,strategic_position,3,3
B,10,0.21,minimax,minimax,mobility,strategic_position,3,3
B,10,0.26,minimax,minimax,mobility,strategic_position,3,3
B,16,0.46,minimax,minimax,mobility,potential_chain_reactions,3,3
B,16,0.46,minimax,minimax,mobility,potential_chain_reactions,3,3
B,16,0.43,minimax,minimax,mobility,potential_chain_reactions,3,3
B,16,0.48,minimax,minimax,mobility,potential_chain_reactions,3,3
B,16,0.45,minimax,minimax,mobility,potential_chain_reactions,3,3
R,3,0.04,minimax,minimax,mobility,mobility,3,3
R,3,0.03,minimax,minimax,mobility,mobility,3,3
R,3,0.04,minimax,minimax,mobility,mobility,3,3
R,3,0.04,minimax,minimax,mobility,mobility,3,3
R,3,0.05,minimax,minimax,mobility,mobility,3,3
